Variety,Block,Yield
Ares,1,29
Cirillo,1,26
Colosseo,1,42
Creso,1,29
Duilio,1,41
Ares,2,27
Cirillo,2,32
Colosseo,2,47
Creso,2,34
Duilio,2,31
Ares,3,28
Cirillo,3,25
Colosseo,3,40
Creso,3,35
Duilio,3,36
