observation,height,hay
1,93,7.89
2,60,6.15
3,67,6.37
4,76,6.89
5,65,7.12
6,87,7.36
7,81,7.82
8,70,5.90
9,71,6.54
10,71,6.50
11,65,7.09
12,76,7.71
13,80,7.12
14,85,7.77
15,77,7.60
