Variety,Yield
Ares,29
Cirillo,26
Colosseo,42
Creso,29
Duilio,41
Ares,27
Cirillo,32
Colosseo,47
Creso,34
Duilio,31
Ares,28
Cirillo,25
Colosseo,40
Creso,35
Duilio,36
