InterRow,Density,Block,Yield
35,6,1,12.61
35,6,2,13.23
35,6,3,12.76
35,8,1,13.92
35,8,2,15.6
35,8,3,13.62
35,10,1,14.69
35,10,2,14.62
35,10,3,14.65
70,6,1,11.71
70,6,2,12.43
70,6,3,12.87
70,8,1,13.28
70,8,2,13.43
70,8,3,13.29
70,10,1,12.97
70,10,2,13.95
70,10,3,13.26
