Block,Variety,Biomass,Seeds
1,FEDORA 17,18.2,3.1
1,FIBROR 75,17.2,1.3
1,USO 31,10.4,2.7
1,FELINA 32,11.4,1.5
1,FUTURA 75,12.5,1.8
2,FELINA 32,12.5,1.8
2,USO 31,8.2,1.7
2,FUTURA 75,10.2,1.1
2,FEDORA 17,10.9,1.9
2,FIBROR 75,20.1,2.3
3,FUTURA 75,12.7,1.1
3,FEDORA 17,10.3,1.1
3,FELINA 32,7.7,1.1
3,FIBROR 75,18.4,1.7
3,USO 31,5.8,1.3
4,FIBROR 75,9.8,0.5
4,FUTURA 75,7.5,0.4
4,FEDORA 17,7.4,0.7
4,USO 31,3.2,1.4
4,FELINA 32,5.7,0.7
