nitrogen,line,block,yield
N0,1,1,2.2
N0,2,2,2.35
N0,3,3,2.54
N0,4,4,3.2
N50,1,2,3.38
N50,2,3,3.73
N50,3,4,3.82
N50,4,1,3.17
N100,1,3,3.46
N100,2,4,3.63
N100,3,1,3.5
N100,4,2,3.58
N150,1,4,3.66
N150,2,1,3.4
N150,3,2,3.23
N150,4,3,3.66
